doi,coder,subfield,title,xml_path,sample_id,gender,race,education,ses,note
10.1371/journal.pone.0257648,SJ,Cognitive psychology,"Transparency, health equity, and strategies in state-based protocols for remdesivir allocation and use",/scratch/yex8wb/allofplos_corpus/journal.pone.0257648.xml,1,0,0,0,0,"Policy document review, not a human sample"
10.1371/journal.pone.0187254,SJ,Cognitive psychology,Increased engagement of the cognitive control network associated with music training in children during an fMRI Stroop task,/scratch/yex8wb/allofplos_corpus/journal.pone.0187254.xml,1,"1, Control 65% Male, Music 57% Male, Sports 38% Male","1, Primarily Latino, underprivileged minority communities","1, parental education scored 1-5 scale, Control 2.40, Music 2.77, Sports 2.60","1, household income scored 0-5 scale, Control 1.47, Music 2.21, Sports 1.69","Bilingual households, Los Angeles; no group differences in SES/IQ at baseline"
10.1371/journal.pone.0096480,SJ,Cognitive psychology,"Identifying the Science and Technology Dimensions of
Emerging Public Policy Issues through Horizon Scanning",/scratch/yex8wb/allofplos_corpus/journal.pone.0096480.xml,1,0,0,0,0,"horizon-scanning policy exercise, not a human demographic sample"
10.1371/journal.pone.0317448,SJ,Cognitive psychology,"The impact of The Quality and Safety Education (QSEN) program on the knowledge, skills, and attitudes of junior nurses",/scratch/yex8wb/allofplos_corpus/journal.pone.0317448.xml,1,"1, 40.5% Male, 59.5% Female",0,"1, 84.6% BSC, 2.5% Higher Diploma, 13.0%",0,"Junior nurses (≤5 yrs experience); mean age 28.6, mean experience 4.28 yrs; no race/ethnicity or SES reported"
10.1371/journal.pone.0211809,SJ,Cognitive psychology,Network motifs for translator stylometry identification,/scratch/yex8wb/allofplos_corpus/journal.pone.0211809.xml,1,0,0,0,0,"Text/corpus analysis, not a human participant sample"
10.1371/journal.pone.0300984,SJ,Cognitive psychology,Development and validation of the Mentalizing Emotions Questionnaire: A self-report measure for mentalizing emotions of the self and other,/scratch/yex8wb/allofplos_corpus/journal.pone.0300984.xml,1,"1, Study 1: 49.4% Male, 50.0% Female, 0.6% Diverse; Study 2: 46.2% Male, 53.3% Female, 0.6% Diverse",0,"1, Study 1: 4.7% middle school, 30.8% high school diploma, 28.8% apprenticeship, 34.3% university degree, 1.0% PhD, 0.4% currently in school; Study 2: 16.3% middle school, 15.0% high school diploma, 28.7% apprenticeship, 38.6% university degree, 1.2% PhD, 0.4% currently in school",0,"German general population, recruited via online panel (Respondi); mean age Study 1 = 43.3, Study 2 = 44.0; no race/ethnicity or SES reported"
10.1371/journal.pone.0241900,SJ,Cognitive psychology,Electrochromic selective filtering of chronodisruptive visible wavelengths,/scratch/yex8wb/allofplos_corpus/journal.pone.0241900.xml,1,"1, 50% Male, 50% Female",0,0,0,"16 healthy non-smoking volunteers, ages 19-50 (mean 36.25 ± 8.12); no shift workers, no color blindness (Ishihara-tested), no cross-timezone travel in prior 2 months; no race/education/SES reported"
10.1371/journal.pone.0213619,SJ,Cognitive psychology,How perceived substance characteristics affect ethical judgement towards cognitive enhancement,/scratch/yex8wb/allofplos_corpus/journal.pone.0213619.xml,1,"1, 68% Female, 32% Male",0,0,0,"148 participants, 33% students/57% employees/10% other, mean age 30.46; no race/education/SES reporte"
10.1371/journal.pone.0134347,SJ,Cognitive psychology,"Viewing Complex, Dynamic Scenes ""Through the Eyes"" of Another Person: The Gaze-Replay Paradigm",/scratch/yex8wb/allofplos_corpus/journal.pone.0134347.xml,1,"1, 50.4% Male, 49.6% Female",0,0,0,"246 viewer participants (IU students/staff, mean age 20.95); 5 male gaze donors; no race/education/SES reported"
10.1371/journal.pone.0248760,SJ,Cognitive psychology,Photodynamic therapy combined with anti-vascular endothelial growth factor therapy for pachychoroid neovasculopathy,/scratch/yex8wb/allofplos_corpus/journal.pone.0248760.xml,1,"1, 73.8% Male, 26.2% Female",0,0,0,"42 eyes/42 patients (retrospective, 3 Japan hospitals), mean age 68.5; no race/education/SES reported"
10.1371/journal.pone.0246349,SJ,Cognitive psychology,Time to initiation of antenatal care and its predictors among pregnant women in Ethiopia: Cox-gamma shared frailty model,/scratch/yex8wb/allofplos_corpus/journal.pone.0246349.xml,1,"1, 100% Female",0,"1, 63.03% No formal, 28.39% Primary, 5.53% Secondary, 3.04% Higher","1, 21.75% Poorest, 21.87% Poorer, 20.84% Middle, 18.85% Richer, 16.69% Richest (wealth index)","7,543 pregnant women, Ethiopia DHS 2016 (nationally representative); all female by design; no race reported"
10.1371/journal.pone.0194475,SJ,Cognitive psychology,Biometric recognition via texture features of eye movement trajectories in a visual searching task,/scratch/yex8wb/allofplos_corpus/journal.pone.0194475.xml,1,"1, 58.6% Female, 41.4% Male",0,0,0,"58 subjects, ages 21-33, mean 24.97; eye-tracking biometrics study, Beijing; no race/education/SES reported"
10.1371/journal.pone.0244321,SJ,Cognitive psychology,Similar effects of fatigue induced by a repetitive pointing task on local and remote light touch and pain perception in men and women,/scratch/yex8wb/allofplos_corpus/journal.pone.0244321.xml,1,"1, 50% Male, 50% Female",0,0,0,"30 healthy adults (15M/15F), age ~26-27; sex differences in EMG fatigue, pressure pain, and light touch thresholds after fatiguing task; no education/SES data."
10.1371/journal.pone.0087310,SJ,Cognitive psychology,Developing and Evaluating a Target-Background Similarity Metric for Camouflage Detection,/scratch/yex8wb/allofplos_corpus/journal.pone.0087310.xml,1,"1, 100% Male, 0% Female",0,0,0,"15 male students, National University of Defense Technology, age 19-23; camouflage target detection with eye tracking; not a general human sample, military training background but no formal demographic breakdown."
10.1371/journal.pone.0127231,SJ,Cognitive psychology,Three-Way Analysis of Spectrospatial Electromyography Data: Classification and Interpretation,/scratch/yex8wb/allofplos_corpus/journal.pone.0127231.xml,1,0,0,0,0,10 subjects (hand-movement) + 1 subject (finger-movement); no demographics reported.
10.1371/journal.pone.0086603,ST,Personality,Social Networking Smartphone Applications and Sexual Health Outcomes among Men Who Have Sex with Men,/scratch/yex8wb/allofplos_corpus/journal.pone.0086603.xml,1,"1, 96.4% Identify as Male","1, 86.4% White/Caucasian",0,0,"For gender the study only looks at men, but only 96.4% identify as male."
10.1371/journal.pone.0210503,ST,Personality,Fixed or flexible? Orientation preference in identity and gaze processing in humans,/scratch/yex8wb/allofplos_corpus/journal.pone.0210503.xml,1,"1, 80% Female, 20% Male",0,"1, 100% College",0,
10.1371/journal.pone.0158678,ST,Personality,Development and Validation of a Self-Report Measure of Mentalizing: The Reflective Functioning Questionnaire,/scratch/yex8wb/allofplos_corpus/journal.pone.0158678.xml,1,"1,",,,,Kinda confused how it is listed in the chart and what the total number of participants are
10.1371/journal.pone.0295865,ST,Personality,"Long-term care transitions during a global pandemic: Planning and decision-making of residents, care partners, and health professionals in Ontario, Canada",/scratch/yex8wb/allofplos_corpus/journal.pone.0295865.xml,1,"1, 66% Female, 34% Male","1, 28% White, 6% South Asian, 3% Persian, 3% Mixed Heritage",0,0,
10.1371/journal.pone.0037690,ST,Emotions,Modelling Psychological Responses to the Great East Japan Earthquake and Nuclear Incident,/scratch/yex8wb/allofplos_corpus/journal.pone.0037690.xml,1,0,0,"1, 100% college",0,"Says it included demographic questions about sex, but don't see it listed."
10.1371/journal.pone.0183011,ST,Emotions,"Do individualism and collectivism on three levels (country, individual, and situation) influence theory-of-mind efficiency? A cross-country study",/scratch/yex8wb/allofplos_corpus/journal.pone.0183011.xml,1,"1, 53% Female, 46% Male",0,"1, 100%",0,Added up the Dutch students and the Vietnamese Students to get percentages for gender
10.1371/journal.pone.0278715,ST,Emotions,Psychometric validation of the Italian version of the Emotional Style Questionnaire,/scratch/yex8wb/allofplos_corpus/journal.pone.0278715.xml,1,0,0,"1,",0,Not sure how to report the educations
10.1371/journal.pone.0253654,ST,Emotions,Black Americans demonstrate comparatively low levels of depression and anxiety during the COVID-19 pandemic,/scratch/yex8wb/allofplos_corpus/journal.pone.0253654.xml,1,"1, 52% Female, 48% Male","1, 63% White, 12% Black, 5% Asian, 17% Hispanic, 3% Other","1, 38% High School Diploma or GED, 28% Some College, 34% College or higher",2,Used UAS Sample (weighted) instead of ACS Estimates
10.1371/journal.pone.0247932,ST,Emotions,Factor structure of the SDQ and longitudinal associations from pre-school to pre-teen in New Zealand,/scratch/yex8wb/allofplos_corpus/journal.pone.0247932.xml,1,0,0,0,0,
10.1371/journal.pone.0201521,ST,Emotions,Developmental changes in the categorical processing of positive and negative facial expressions,/scratch/yex8wb/allofplos_corpus/journal.pone.0201521.xml,1,"1, 50% Female, 50% Male","1, 100% Caucasian","1, 25% College (100% of adult group)",0,"Check race, for children said german born, caucasian background, and for adults, all caucasian"
10.1371/journal.pone.0094824,ST,Emotions,Corticospinal Excitability Preceding the Grasping of Emotion-Laden Stimuli,/scratch/yex8wb/allofplos_corpus/journal.pone.0094824.xml,1,"1, 0% Female, 100% Male",0,"1, 100% Undergraduate and Graduate",0,
10.1371/journal.pone.0302604,ST,Emotions,Understanding emotional and health indicators underlying the burnout risk of healthcare workers,/scratch/yex8wb/allofplos_corpus/journal.pone.0302604.xml,1,0,0,0,0,
10.1371/journal.pone.0256216,ST,Emotions,Validation and reliability of the Bahasa Malaysia language version of the Acceptance of Illness Scale among Malaysian patients with cancer,/scratch/yex8wb/allofplos_corpus/journal.pone.0256216.xml,1,"1, 67.2% Female, 32.8% Male","1, 81.3% Malay, 8.6% Chinese, 7.8% Indian, 2.3% Other","1, 12.5% Primary, 56.3% Secondary, 14.1% College Degree, 16.4% STPM/Matriculation/A level/Diploma",2,
10.1371/journal.pone.0257145,ST,Psychological attitudes,Under the knife: Unfavorable perceptions of women who seek plastic surgery,/scratch/yex8wb/allofplos_corpus/journal.pone.0257145.xml,1,"1, 46% Female, 54% Male","1, 69% White, 16% Black or African American",0,0,
10.1371/journal.pone.0296049,ST,Psychological attitudes,Pandemic lifeworlds: A segmentation analysis of public responsiveness to official communication about Covid-19 in England,/scratch/yex8wb/allofplos_corpus/journal.pone.0296049.xml,1,1,1,0,0,"Study is broken further into different personality subtypes, unsure how to code these"
10.1371/journal.pone.0304974,ST,Psychological attitudes,"Knowledge, attitude and practice (KAP) on food-drug interaction (FDI) among pharmacists working in government health facilities in Sabah, Malaysia",/scratch/yex8wb/allofplos_corpus/journal.pone.0304974.xml,1,"1, 67.4% Female, 32.6% Male",0,"1, 94.9% Bachelor's Degree, 5.1% Master's Degree, 0% PhD",0,
10.1371/journal.pone.0330219,ST,Psychological attitudes,Barriers to osteopathic manipulative medicine use: A qualitative study of physician attitudes and experiences,/scratch/yex8wb/allofplos_corpus/journal.pone.0330219.xml,1,"1, 50% Female, 50% Male",0,"1, 100% DO (Doctor of Osteopathic Medicine), 19% MS, 6% OD, 6% MPA, 6% MBBS, 6% MPH, 6% MHA",0,
10.1371/journal.pone.0316473,ST,Psychological attitudes,The political economy of reshoring: Evidence from the semiconductor industry,/scratch/yex8wb/allofplos_corpus/journal.pone.0316473.xml,1,0,0,0,0,
10.1371/journal.pone.0256293,ST,Behavior,"Motivational profiles and their relationship with responsibility, school social climate and resilience in high school students",/scratch/yex8wb/allofplos_corpus/journal.pone.0256293.xml,1,"1, 53.9% Female, 46.1% Male",0,"1, 100% Secondary School",0,Students attending secondary schools in Spain (but no clear race mentioned)
10.1371/journal.pone.0313357,ST,Behavior,Student behavior at university: The development and validation of a 10-dimensional scale,/scratch/yex8wb/allofplos_corpus/journal.pone.0313357.xml,1,0,0,"1, 100% University Students",0,"Gender is mentioned, but no actual statistics were found"
10.1371/journal.pone.0270888,ST,Behavior,Driven by notifications – exploring the effects of badge notifications on user experience,/scratch/yex8wb/allofplos_corpus/journal.pone.0270888.xml,1,"1, 55% Female, 45% Male",0,0,0,"86 participants later rejected, but updated gender statistics not provided"
10.1371/journal.pone.0330446,ST,Behavior,Six to seven times less likely to be physically active: Low self-determination and basic psychological needs support in women with endometriosis—A cluster analysis,/scratch/yex8wb/allofplos_corpus/journal.pone.0330446.xml,1,"1, 100% Female",0,"1, 56.1% Complete higher education, 19.5% Incomplete higher education, 24.5% High school or lower",,"There is a statistic labeled ""skin color"" -- logged race as 0 because not sure this is the best qualifier of ""race"""
10.1371/journal.pone.0295395,ST,Behavior,Family caregiver experience of caring COVID-19 patients admitted in COVID-19 hospital of a tertiary care hospital in Nepal,/scratch/yex8wb/allofplos_corpus/journal.pone.0295395.xml,1,"1, 54% Female, 46% Male",0,"1, 15% Bachelor Level, 31% Secondary Level, 23% Primary Level, 31% Lower",0,
10.1371/journal.pone.0038762,ST,Behavior,Reliability and Validity of the Dutch Version of the Brief Infant-Toddler Social and Emotional Assessment (BITSEA),/scratch/yex8wb/allofplos_corpus/journal.pone.0038762.xml,1,"1, 48.9% Female, 51.1% Male","1,",1,0,"Different statistics for child, mother, and father, not sure how to code this, but gender is for child"
10.1371/journal.pone.0299830,ST,Behavior,"Screen time, social media use, and weight-related bullying victimization: Findings from an international sample of adolescents",/scratch/yex8wb/allofplos_corpus/journal.pone.0299830.xml,1,"1, 49% Female, 51% Male","1, 73.4% Majority, 26.6% Minority",0,1,
10.1371/journal.pone.0332098,JP,Behavior,Associations of sunlight affinity with depression and sleep disorders in American males: Evidence from NHANES 2009–2020,/scratch/yex8wb/allofplos_corpus/journal.pone.0332098.xml,1,"1, 100% male","1, 15.3% Mexican American, 20.5% Non-Hispanic Black, 38.7% Non-Hispanic White, 9.6% other Hispanic, 15.9% Other race","1, 42.39% college, 57.6% non college",0,"All male sample, they deine the ses in terms of low-income individuals (PIR=poverty income ratio<1.3)"
10.1371/journal.pone.0143789,JP,Behavior,Do Lung Cancer Eligibility Criteria Align with Risk among Blacks and Hispanics?,/scratch/yex8wb/allofplos_corpus/journal.pone.0143789.xml,1,"1, 57.76% male, 42.24% female","1, 50.9% White, 26.39% Black, 22.72% Hispanic","1, 69.09% college, 22.95% non college",0,
10.1371/journal.pone.0126377,JP,Behavior,Out of Control!? How Loss of Self-Control Influences Prosocial Behavior: The Role of Power and Moral Values,/scratch/yex8wb/allofplos_corpus/journal.pone.0126377.xml,1,"1, 89.3% female",0,"1, 100% college",0,study 1
,,,,,2.1,"1, 58.51% male, 41.49% female",0,"1, 56% college, 43% non college",0,study 2 focal group
,,,,,2.2,"1, 50% male, 50% female",0,"1, 50% college, 50% non college",0,study 2 matched group
10.1371/journal.pone.0139690,JP,Behavior,Persons with Haemophilia in Sweden- Experiences and Strategies in Everyday Life. A Single Centre Study,/scratch/yex8wb/allofplos_corpus/journal.pone.0139690.xml,1,"1, 100% female",0,0,0,"3/14 were studying at the time of the study, but level of current study was not specified"
10.1371/journal.pone.0163153,JP,Behavior,HIV Infection Is Associated with Shortened Telomere Length in Ugandans with Suspected Tuberculosis,/scratch/yex8wb/allofplos_corpus/journal.pone.0163153.xml,1,"1, 55.43% male",0,0,0,"""Higher socioeconomic status and education level have been reported predictors of longer telomere length. Our parent IHOP study did not collect these variables"""
10.1371/journal.pone.0241385,JP,Behavior,Key performance indicators at FIFA Women's World Cup in different playing surfaces,/scratch/yex8wb/allofplos_corpus/journal.pone.0241385.xml,1,"1, 100% female",0,0,0,
10.1371/journal.pone.0256476,JP,Behavior,Changes in leisure-time physical activity during the adult life span and relations to cardiovascular risk factors—Results from multiple Swedish studies,/scratch/yex8wb/allofplos_corpus/journal.pone.0256476.xml,1,"1, 100% male",0,0,0,ULSAM
,,,,,2,"1, 50% female",0,0,0,PIVUS
,,,,,3,"1, 56.54% female",0,0,0,EpiHealth
,,,,,4,"1, 58% female",0,0,0,LifeGene
,,,,,5,"1, 100% female",0,0,0,SHE
,,,,,6,"1, 100% male",0,0,0,SHM
10.1371/journal.pone.0303158,JP,Psychometrics,The development and structural validity testing of the Person-centred Practice Inventory–Care (PCPI-C),/scratch/yex8wb/allofplos_corpus/journal.pone.0303158.xml,1,"1, 33.6% male, 66.4% female",0,0,0,
10.1371/journal.pone.0102672,JP,Psychometrics,Internal Consistency of Event-Related Potentials Associated with Cognitive Control: N2/P3 and ERN/Pe,/scratch/yex8wb/allofplos_corpus/journal.pone.0102672.xml,1,"1, 51.69% male",0,0,0,
10.1371/journal.pone.0245938,JP,Psychometrics,"Psychological outcomes, knowledge and preferences of pregnant women on first-trimester screening for fetal structural abnormalities: A prospective cohort study",/scratch/yex8wb/allofplos_corpus/journal.pone.0245938.xml,1,"1, 100% female",0,"38.7% non college, 60.4% college",0,college: higher vocational training/college and university
10.1371/journal.pone.0288711,JP,Psychometrics,Studying item-effect variables and their correlation patterns with multi-construct multi-state models,/scratch/yex8wb/allofplos_corpus/journal.pone.0288711.xml,1,"1, 52% female",0,29% college,0,
10.1371/journal.pone.0263226,JP,Psychological stress,Understanding care relationships in diabetes practice: A psychodynamic interview-based exploratory study,/scratch/yex8wb/allofplos_corpus/journal.pone.0263226.xml,1,"1, 77.8% female",0,0,0,
10.1371/journal.pone.0095201,JP,Psychological stress,The Influence of Bereavement on Body Mass Index: Results from a National Swedish Survey,/scratch/yex8wb/allofplos_corpus/journal.pone.0095201.xml,1,"1, 49.4% male, 50.6% female",0,0,0,
10.1371/journal.pone.0087152,JP,Psychological stress,Moving Away from Exhaustion: How Core Self-Evaluations Influence Academic Burnout,/scratch/yex8wb/allofplos_corpus/journal.pone.0087152.xml,1,"1, 50.64% male, 49.36% female",0,"1, 100% college",0,
10.1371/journal.pone.0217372,JP,Psychological stress,"Associations between depression, anxiety, stress, hopelessness, subjective well-being, coping styles and suicide in Chinese university students",/scratch/yex8wb/allofplos_corpus/journal.pone.0217372.xml,1,"1, 34.04% male","93.5% Han, 6.5% ethnic minorities","1, 100% college",0,only report ethnicity
10.1371/journal.pone.0288626,JP,Developmental psychology,Supporting the wellbeing of caregivers of children on the autism spectrum: A qualitative report on experiences of attending group dance movement psychotherapy,/scratch/yex8wb/allofplos_corpus/journal.pone.0288626.xml,1,"1, 10% male, 90% female","90% white, 10% black",0,0,
10.1371/journal.pone.0293656,JP,Developmental psychology,Service access experiences of immigrant and refugee caregivers of autistic children in Canada: A scoping review,/scratch/yex8wb/allofplos_corpus/journal.pone.0293656.xml,1,0,0,0,0,"scoping review, doesn't specify specific  distribution of demographic"
10.1371/journal.pone.0051155,JP,Developmental psychology,"Mutation in Parkinson Disease-Associated, G-Protein-Coupled Receptor 37 (GPR37/PaelR) Is Related to Autism Spectrum Disorder",/scratch/yex8wb/allofplos_corpus/journal.pone.0051155.xml,1,"1, 79.17% male, 20.83% female","1, 100% Japanese",0,0,Japanese sample
,,,,,2,"1, 86% male, 14% female","1, 100% Caucasian",0,0,Caucasian sample
10.1371/journal.pone.0177246,JP,Psychophysics,An automated system for the objective evaluation of human gustatory sensitivity using tongue biopotential recordings,/scratch/yex8wb/allofplos_corpus/journal.pone.0177246.xml,1,"1, 41.03% male, 58.97% female",0,"1, 100% college",0,
10.1371/journal.pone.0068577,JP,Psychophysics,Aging and Curvature Discrimination from Static and Dynamic Touch,/scratch/yex8wb/allofplos_corpus/journal.pone.0068577.xml,1,0,0,0,0,Experiment 1
,,,,,2,0,0,0,0,Experiment 2
10.1371/journal.pone.0092406,JP,Experimental psychology,Do Adults Show a Curse of Knowledge in False-Belief Reasoning? A Robust Estimate of the True Effect Size,/scratch/yex8wb/allofplos_corpus/journal.pone.0092406.xml,1,0,0,"1, 100% college",0,Experiment 1
,,,,,2,0,0,"1, 100% college",0,Experiment  2
,,,,,3,0,0,"1, 100% college",0,Experiment  3
,,,,,4,0,0,0,0,Experiment 4
,,,,,5,0,0,0,0,Experiment  5
,,,,,6,0,0,"1, 100% college",0,Experiment  6
,,,,,7,0,0,0,0,Experiment  7
10.1371/journal.pone.0254905,JP,Experimental psychology,Can an android’s posture and movement discriminate against the ambiguous emotion perceived from its facial expressions?,/scratch/yex8wb/allofplos_corpus/journal.pone.0254905.xml,1,"1, 56.38% male, 43.61% female",0,0,0,Experiment 1
,,,,,2,"1, 61.40% male, 38.60% female",0,0,0,Experiment 2
10.1371/journal.pone.0143168,JP,Social psychology,Lack of Association between Oxytocin Receptor (OXTR) Gene Polymorphisms and Alexithymia: Evidence from Patients with Obsessive-Compulsive Disorder,/scratch/yex8wb/allofplos_corpus/journal.pone.0143168.xml,1,"1, 65.92% male, 34.08% female","1, 100% Asian (Korean)",0,0,
10.1371/journal.pone.0320896,JP,Social psychology,Psychometric properties of the Bangla version of the sense of coherence scale among university students in Bangladesh,/scratch/yex8wb/allofplos_corpus/journal.pone.0320896.xml,1,"1, 39.7% male, 60.3% female",0,"1, 100% college",0,
10.1371/journal.pone.0193878,JP,Social psychology,Individual differences in satisfaction with activity-based work environments,/scratch/yex8wb/allofplos_corpus/journal.pone.0193878.xml,1,"1, 52% male",0,0,0,Two basic demographic variables were examined in this study: age and gender
10.1371/journal.pone.0311776,HM,Social psychology,RESILSTIGMA. Resilience to self-stigmatization experienced by people living with HIV: Which self-reported factors improve awareness among health workers?,/scratch/yex8wb/allofplos_corpus/journal.pone.0311776.xml,1,"1, 66.4% Female, 32.1% Male",0,"1, 58.7% College",0,
10.1371/journal.pone.0180598,HM,Neuropsychology,Convergence between parent report and direct assessment of language and attention in culturally and linguistically diverse children,/scratch/yex8wb/allofplos_corpus/journal.pone.0180598.xml,1,"1, 45% Female, 55% Male","1, 78% White, 18% Black","1, 10% College",0,
10.1371/journal.pone.0293904,HM,Neuropsychology,Validation of the Austin Assessment: A screening tool for cerebral visual impairment related visual issues,/scratch/yex8wb/allofplos_corpus/journal.pone.0293904.xml,1,"1, 46% Female, 53% Male, 1% Other",0,0,0,
10.1371/journal.pone.0270786,HM,Neuropsychology,Efficacy of rifaximin against covert hepatic encephalopathy and hyperammonemia in Japanese patients,/scratch/yex8wb/allofplos_corpus/journal.pone.0270786.xml,1,"1, 61.8% Male",0,0,0,
10.1371/journal.pone.0212634,HM,Collective human behavior,Management succession and success in a professional soccer team,/scratch/yex8wb/allofplos_corpus/journal.pone.0212634.xml,1,0,0,0,0,Soccer Team
10.1371/journal.pone.0296458,HM,Collective human behavior,Social network tie functions of social support and social influence and adult smoking abstinence,/scratch/yex8wb/allofplos_corpus/journal.pone.0296458.xml,1,"1, 74.8% Female, 24.4% Male, 0.8% Other","1, 89.4% White","1, 20.3% College",0,
10.1371/journal.pone.0244935,HM,Collective human behavior,"The influence of teacher-student proximity, teacher feedback, and near-seated peer groups on classroom engagement: An agent-based modeling approach",/scratch/yex8wb/allofplos_corpus/journal.pone.0244935.xml,1,0,0,0,0,Classroom
10.1371/journal.pone.0207629,HM,Psychology,Fake science: The impact of pseudo-psychological demonstrations on people’s beliefs in psychological principles,/scratch/yex8wb/allofplos_corpus/journal.pone.0207629.xml,1,0,0,"1, 100% College",0,College student sample
10.1371/journal.pone.0080668,HM,Psychology,Time Frame and Justice Motive: Future Perspective Moderates the Adaptive Function of General Belief in a Just World,/scratch/yex8wb/allofplos_corpus/journal.pone.0080668.xml,1,"1, 54% Female",0,0,0,Middle School Sample
10.1371/journal.pone.0223108,HM,Instinct,How does the method change what we measure? Comparing virtual reality and text-based surveys for the assessment of moral decisions in traffic dilemmas,/scratch/yex8wb/allofplos_corpus/journal.pone.0223108.xml,1,0,0,0,0,
10.1371/journal.pone.0170554,HM,Instinct,Intergroup Contact and Outgroup Humanization: Is the Causal Relationship Uni- or Bidirectional?,/scratch/yex8wb/allofplos_corpus/journal.pone.0170554.xml,1,"1, 67% Female",0,0,0,Full sample was Italian college students
10.1371/journal.pone.0239749,HM,Applied psychology,Determinants of anxiety levels among young males in a threat of experiencing military conflict–Applying a machine-learning algorithm in a psychosociological study,/scratch/yex8wb/allofplos_corpus/journal.pone.0239749.xml,1,"1, 100% Male",0,0,0,Full sample was Ukranian males
10.1371/journal.pone.0273015,HM,Applied psychology,A systematic review of resilient performance in defence and security settings,/scratch/yex8wb/allofplos_corpus/journal.pone.0273015.xml,1,0,0,0,0,Meta Analysis
